"id","homicide","terrorist_attack","threats","Enforced_disappearance","torture","sexual_violence","recruitment","detention","kidnapping","pillage","extortion","attack_against_civilians_population","dispossession_land","forced_displacement","armed_group"
269,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Guerrilla groups"
270,0,0,1,0,1,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
273,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
280,0,0,1,0,1,0,0,0,1,0,0,0,0,0,"Guerrilla groups"
282,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Guerrilla groups"
283,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Guerrilla groups"
284,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Guerrilla groups"
297,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
300,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
311,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
320,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"Other armed groups"
321,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"Paramilitary groups"
322,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"Paramilitary groups"
323,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"Paramilitary groups"
324,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"Paramilitary groups"
326,0,0,1,0,1,0,0,0,1,0,0,0,0,0,"Paramilitary groups"
327,0,0,1,0,1,0,0,0,1,0,0,0,0,0,"Paramilitary groups"
333,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
334,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
335,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
336,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
348,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
349,0,0,0,0,1,1,0,0,1,0,0,0,0,1,"Guerrilla groups"
351,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"Guerrilla groups"
352,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
355,0,0,1,0,1,1,0,0,0,0,0,0,0,1,"Other armed groups"
356,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Other armed groups"
358,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
359,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Paramilitary groups"
374,0,0,1,0,1,1,0,0,1,0,0,0,0,0,"Paramilitary groups"
375,0,0,1,0,1,1,0,0,1,0,0,0,0,0,"Paramilitary groups"
376,0,0,1,0,1,1,0,0,1,0,0,0,0,0,"Paramilitary groups"
386,0,0,0,0,1,0,0,0,1,0,0,1,0,0,"Guerrilla groups"
387,0,0,0,0,1,0,0,0,1,0,0,1,0,0,"Guerrilla groups"
403,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
404,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Paramilitary groups"
405,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Paramilitary groups"
406,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Paramilitary groups"
407,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Paramilitary groups"
415,0,0,1,0,1,1,1,0,0,0,0,0,0,0,"Guerrilla groups"
428,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
429,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
440,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Paramilitary groups"
442,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
443,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
444,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
445,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
446,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
449,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Guerrilla groups"
450,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Paramilitary groups"
451,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
455,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
456,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
460,0,1,0,1,0,0,0,1,0,0,0,0,0,0,"Other armed groups"
470,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
471,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
472,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Other armed groups"
473,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Other armed groups"
485,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
494,0,0,1,0,1,0,0,0,1,0,0,0,0,0,"Guerrilla groups"
495,0,0,1,0,1,0,0,0,1,0,0,0,0,0,"Guerrilla groups"
496,0,0,1,0,1,0,0,0,1,0,0,0,0,0,"Paramilitary groups"
497,0,0,1,0,1,0,0,0,1,0,0,0,0,0,"Guerrilla groups"
498,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Guerrilla groups"
499,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Guerrilla groups"
507,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
512,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
515,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Paramilitary groups"
516,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Paramilitary groups"
517,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Paramilitary groups"
530,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"Other armed groups"
534,0,0,1,0,1,0,0,0,0,1,0,0,1,0,"Other armed groups"
535,0,1,0,0,1,1,0,0,1,0,0,0,0,0,"Other armed groups"
537,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Guerrilla groups"
538,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Guerrilla groups"
539,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Guerrilla groups"
543,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"Other armed groups"
544,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
545,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
546,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
551,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Guerrilla groups"
557,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
560,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
565,0,0,1,0,0,0,1,0,0,0,0,0,0,1,"Paramilitary groups"
573,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Paramilitary groups"
575,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
580,1,0,0,1,0,0,0,0,1,0,0,0,0,0,"Paramilitary groups"
581,1,0,0,1,0,0,0,0,1,0,0,0,0,0,"Paramilitary groups"
582,1,0,0,1,0,0,0,0,1,0,0,0,0,0,"Paramilitary groups"
584,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
587,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
588,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
597,1,0,0,0,1,0,0,0,1,1,0,0,0,0,"Paramilitary groups"
598,1,0,0,0,1,0,0,0,1,1,0,0,0,0,"Paramilitary groups"
602,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
606,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
612,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"Other armed groups"
613,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"Other armed groups"
619,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"Other armed groups"
620,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"Other armed groups"
621,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"Other armed groups"
622,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"Other armed groups"
623,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"Other armed groups"
645,0,1,1,0,1,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
646,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
647,0,0,1,0,0,0,0,0,0,0,1,0,0,1,"Guerrilla groups"
665,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"Guerrilla groups"
667,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Guerrilla groups"
668,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Guerrilla groups"
669,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Guerrilla groups"
670,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Guerrilla groups"
672,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
674,1,1,0,0,0,0,0,0,0,0,0,1,0,0,"Other armed groups"
675,1,1,0,0,0,0,0,0,0,0,0,1,0,0,"Other armed groups"
676,1,1,0,0,0,0,0,0,0,0,0,1,0,0,"Other armed groups"
679,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
681,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"Paramilitary groups"
682,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"Paramilitary groups"
684,0,1,0,0,1,1,0,1,0,0,0,0,0,0,"Other armed groups"
690,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
691,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
709,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
710,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
711,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
712,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
713,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
714,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
752,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
753,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
754,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
758,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
779,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
780,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
787,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"Paramilitary groups"
789,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"Other armed groups"
792,0,0,1,0,0,0,0,0,0,0,0,1,0,1,"Guerrilla groups"
793,0,0,1,0,1,1,0,0,0,0,0,0,0,1,"Paramilitary groups"
801,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Paramilitary groups"
802,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Paramilitary groups"
809,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Other armed groups"
810,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
813,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Paramilitary groups"
814,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
842,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"Guerrilla groups"
843,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"Guerrilla groups"
844,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"Guerrilla groups"
845,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"Guerrilla groups"
846,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Other armed groups"
860,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
861,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Other armed groups"
862,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Other armed groups"
863,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Other armed groups"
866,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Other armed groups"
867,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Other armed groups"
868,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Guerrilla groups"
872,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"Other armed groups"
874,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Other armed groups"
894,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Other armed groups"
900,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Other armed groups"
915,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
916,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
917,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
939,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Guerrilla groups"
940,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
944,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
946,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
984,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Paramilitary groups"
989,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Other armed groups"
990,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"Guerrilla groups"
991,1,0,0,0,1,0,0,1,0,0,0,0,0,0,"Other armed groups"
992,1,0,1,1,0,0,0,1,0,0,0,0,0,0,"Other armed groups"
993,1,0,1,1,0,0,0,1,0,0,0,0,0,0,"Other armed groups"
994,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Guerrilla groups"
995,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Guerrilla groups"
996,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"Other armed groups"
997,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"Other armed groups"
999,0,0,1,0,1,0,0,0,0,0,0,0,0,1,"Other armed groups"
1012,1,0,0,0,1,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
1017,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Guerrilla groups"
1019,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Guerrilla groups"
1031,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
1032,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
1033,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Guerrilla groups"
1054,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
1055,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
1056,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
1057,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
1058,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paramilitary groups"
