"rate","mechanism","n_reps","realized_missing_pct","imp_sensitivity","imp_specificity","imp_accuracy","rmse_theta_mean","rmse_theta_sd","rmse_P_mean","rmse_P_sd","rmse_mu_mean","rmse_mu_sd","iterations_mean","elapsed_mean"
0,"MCAR",10,0,NA,NA,NA,0.59909615810191,0.00711887948998167,0.0805106179133727,0.000879631320589416,0.111570980059458,0.0174133891062942,8.2,2.32406034469604
0.1,"MAR",10,9.95071428571429,0,100,77.9736001257921,0.595669470145533,0.00630818304728742,0.081268989741846,0.00112328219124159,0.0704430690655657,0.0167263038462418,18.2,1.64382863044739
0.1,"MCAR",10,9.96892857142857,0,100,83.6416460890548,0.601255701405153,0.00614374809153029,0.0810633320976348,0.000819955940999353,0.110014395355027,0.0133021936969567,16.8,2.78371601104736
0.3,"MAR",10,29.8889285714286,0,100,78.0996421534078,0.61186655899007,0.0061916659227929,0.0857989908217353,0.000983662252992031,0.127533015387773,0.0212805763191706,24.5,1.99396982192993
0.3,"MCAR",10,29.8810714285714,0,100,83.5191938877266,0.605578863645212,0.00667785964687294,0.0818399542427905,0.00106940013647218,0.100228360057709,0.0126005281696203,21.7,2.4355152130127
