"n","dev_mm_mean","dev_pd_mean","rmse_true_mm_mean","rmse_true_mm_sd","rmse_true_pd_mean","rmse_true_pd_sd","auc_mm_mean","auc_pd_mean","cor_mm_pd_mean","rmse_mm_pd_mean","pct_converged_mm","pct_converged_pd","max_abs_B_mm_mean","max_abs_B_pd_mean"
200,188.928000561083,2086.04406144111,0.333349260953953,0.00467540369722652,0.0866104089408726,0.00195789271971013,0.99799117161936,0.891788015869359,0.64993384593757,0.315033265024034,100,100,20.5904203407752,1.95723394574755
1000,2974.79809766415,11101.9014317686,0.310470482348319,0.00184055867370391,0.0814232688074444,0.000311094549506476,0.983570725908971,0.905878505953602,0.72414855891903,0.293285356937228,100,100,14.2981203411836,1.77268852942694
5000,18491.4589346791,55840.9588409439,0.297722339823406,0.00215461759261562,0.079405930075224,0.000531328724941145,0.972736449929119,0.896816363834626,0.735296157760157,0.28237352244794,100,100,12.425605039513,1.71572421079646
