"n","rep","dev_mm","dev_pd","rmse_true_mm","rmse_true_pd","auc_mm","auc_pd","cor_mm_pd","rmse_mm_pd","iterations_mm","iterations_pd","converged_mm","converged_pd","max_abs_B_mm","max_abs_B_pd"
200,1,177.027505775633,2052.65922304048,0.328316791535611,0.0853000562405063,0.998406237125854,0.868361200795077,0.641705997843435,0.311542626042861,2491,9,TRUE,TRUE,22.3390642086949,2.03970750316534
200,2,179.974799080225,2094.50796183089,0.334172838463002,0.0888610713462678,0.998379500683648,0.914723171192508,0.678972715739217,0.3166865236086,2678,8,TRUE,TRUE,18.6971663339455,1.93205091624129
200,3,209.781696827391,2110.96499945195,0.337558152863247,0.0856700992358437,0.997187777048576,0.892279675620493,0.629122824230058,0.31687064542064,2992,8,TRUE,TRUE,20.7350304796852,1.89994341783602
1000,1,2978.44492672379,11074.3410933571,0.308670594001771,0.0812920283182025,0.9844348087884,0.906653896514176,0.741881618826887,0.29083097699064,1155,8,TRUE,TRUE,15.3380894347429,1.76416132415888
1000,2,3175.17265238682,11239.9435279336,0.310391673393212,0.0811993000860803,0.980517080285581,0.913026586402293,0.740264608523874,0.293488064967795,962,7,TRUE,TRUE,12.7865460688149,1.74449781609922
1000,3,2770.77671388183,10991.419674015,0.312349179649974,0.0817784780180505,0.985760288652933,0.897955034944337,0.690299449406329,0.29553702885325,1182,8,TRUE,TRUE,14.7697255199931,1.80940644802273
5000,1,18100.6993634242,55324.5027863239,0.29566829599765,0.0791261650770778,0.976319158379744,0.91678166021654,0.725046360650511,0.281689172645384,814,8,TRUE,TRUE,12.6610758932951,1.71617090923158
5000,2,18906.3751431526,55876.4012461251,0.297533608907041,0.0790729395751665,0.969247547092936,0.882168434469326,0.735677239441033,0.281709084078205,697,8,TRUE,TRUE,11.0496249585636,1.72618454714695
5000,3,18467.3022974606,56321.9724903827,0.299965114565527,0.0800186855734277,0.972642644314676,0.89149899681801,0.745164873188925,0.283722310620232,925,8,TRUE,TRUE,13.5661142666802,1.70481717601086
